NCTId,Text,clean,tfidf,cluster1
NCT00392327,"Hemoglobin measurement greater than or equal to 8 grams per deciliter,Hemoglobin measurement greater than or equal to 8 grams per deciliter,nan,nan,nan,Platelet count greater than or equal to 100000 platelets per cubic milimeter without transfusion,nan",hemoglobin measurement greater   equal  8 grams per deciliter hemoglobin measurement greater   equal  8 grams per deciliter nan nan nan platelet count greater   equal  100000 platelets per cubic milimeter without transfusion nan,"[0.         0.52941176 0.         0.23529412 0.68       0.40909091
 0.23529412 0.45454545 0.55555556 0.53571429 0.42857143 0.2
 0.87804878 0.57894737 0.42857143 0.29411765 0.45454545 0.45454545
 0.94117647 0.62857143 0.35       0.27777778 0.36842105 0.70588235
 0.68       0.69565217 0.53333333 0.35       0.45454545 0.61111111
 0.52173913 0.45454545 0.45454545 0.52173913 0.23529412 0.38888889
 0.45454545 0.5        0.2        0.52       0.47826087 0.
 0.73333333 0.65714286 0.42857143 0.76666667 0.53333333 0.66666667
 0.47826087 0.68       0.59259259 0.52941176 0.57894737 0.38888889
 0.45454545 0.77142857 0.61904762 0.64516129 0.45454545 0.38095238
 0.47619048 0.40909091 0.61904762 0.52941176 0.52941176 0.74193548
 0.81081081 0.85294118 0.61904762 0.42857143 0.60714286 0.61904762
 0.38095238 0.75       0.59259259 0.52941176 0.45454545 0.76470588
 0.         0.29411765 0.80952381 0.5        0.42857143 0.42857143
 0.75       0.6        0.79487179]",3
NCT00956007,"Hemoglobin measurement greater than or equal to 8 grams per deciliter,Hemoglobin measurement greater than or equal to 8 grams per deciliter,AIDS excluded; immunocompromised excluded,nan,nan,nan,nan",hemoglobin measurement greater   equal  8 grams per deciliter hemoglobin measurement greater   equal  8 grams per deciliter aids excluded  immunocompromised excluded nan nan nan nan,"[0.52941176 0.         0.52941176 0.5        0.88888889 0.54545455
 0.3125     0.70833333 0.5625     0.77419355 0.27272727 0.5
 0.8974359  0.85714286 0.27272727 0.55555556 0.70833333 0.70833333
 0.96875    0.75       0.5        0.44444444 0.66666667 0.64285714
 0.57142857 0.875      0.8125     0.69565217 0.70833333 0.77777778
 0.70833333 0.70833333 0.70833333 0.76       0.5        0.63157895
 0.70833333 0.73076923 0.5        0.64       0.66666667 0.52941176
 0.87096774 0.81081081 0.27272727 0.86666667 0.75757576 0.88461538
 0.66666667 0.88888889 0.75       0.84210526 0.85714286 0.63157895
 0.70833333 0.88888889 0.86956522 0.78125    0.70833333 0.65217391
 0.68181818 0.72       0.86956522 0.30769231 0.84210526 0.90909091
 0.89189189 0.875      0.86956522 0.69565217 0.75862069 0.86956522
 0.65217391 0.91176471 0.7037037  0.84210526 0.70833333 0.91666667
 0.52941176 0.55555556 0.84210526 0.66666667 0.27272727 0.27272727
 0.91176471 0.78125    0.92682927]",8
NCT01089101,"Hemoglobin measurement greater than or equal to 8 grams per deciliter,Hemoglobin measurement greater than or equal to 8 grams per deciliter,nan,nan,nan,Platelet count greater than or equal to 100000 platelets per cubic milimeter without transfusion,nan",hemoglobin measurement greater   equal  8 grams per deciliter hemoglobin measurement greater   equal  8 grams per deciliter nan nan nan platelet count greater   equal  100000 platelets per cubic milimeter without transfusion nan,"[0.         0.52941176 0.         0.23529412 0.68       0.40909091
 0.23529412 0.45454545 0.55555556 0.53571429 0.42857143 0.2
 0.87804878 0.57894737 0.42857143 0.29411765 0.45454545 0.45454545
 0.94117647 0.62857143 0.35       0.27777778 0.36842105 0.70588235
 0.68       0.69565217 0.53333333 0.35       0.45454545 0.61111111
 0.52173913 0.45454545 0.45454545 0.52173913 0.23529412 0.38888889
 0.45454545 0.5        0.2        0.52       0.47826087 0.
 0.73333333 0.65714286 0.42857143 0.76666667 0.53333333 0.66666667
 0.47826087 0.68       0.59259259 0.52941176 0.57894737 0.38888889
 0.45454545 0.77142857 0.61904762 0.64516129 0.45454545 0.38095238
 0.47619048 0.40909091 0.61904762 0.52941176 0.52941176 0.74193548
 0.81081081 0.85294118 0.61904762 0.42857143 0.60714286 0.61904762
 0.38095238 0.75       0.59259259 0.52941176 0.45454545 0.76470588
 0.         0.29411765 0.80952381 0.5        0.42857143 0.42857143
 0.75       0.6        0.79487179]",3
NCT01220583,"Hemoglobin measurement greater than or equal to 8 grams per deciliter,Hemoglobin measurement greater than or equal to 8 grams per deciliter,(HIV=NO OR HIV =UNKNOWN) AND AIDS=NO) ,nan,nan,Platelet count greater than or equal to 100000 platelets per cubic milimeter,nan",hemoglobin measurement greater   equal  8 grams per deciliter hemoglobin measurement greater   equal  8 grams per deciliter hiv   hiv  unknown   aids    nan nan platelet count greater   equal  100000 platelets per cubic milimeter nan,"[0.23529412 0.5        0.23529412 0.         0.6        0.31818182
 0.22222222 0.36363636 0.6        0.56666667 0.5        0.29411765
 0.8        0.55       0.5        0.27777778 0.36363636 0.36363636
 0.91428571 0.64864865 0.15789474 0.05882353 0.35       0.66666667
 0.54166667 0.60869565 0.58823529 0.33333333 0.36363636 0.5
 0.43478261 0.36363636 0.36363636 0.43478261 0.         0.36842105
 0.36363636 0.48       0.29411765 0.375      0.39130435 0.23529412
 0.62068966 0.6        0.5        0.65517241 0.51612903 0.58333333
 0.39130435 0.6        0.57142857 0.57894737 0.55       0.27777778
 0.36363636 0.67647059 0.52380952 0.58064516 0.36363636 0.28571429
 0.38095238 0.39130435 0.52380952 0.41176471 0.57894737 0.67741935
 0.72222222 0.75757576 0.52380952 0.33333333 0.53571429 0.52380952
 0.28571429 0.6875     0.51851852 0.57894737 0.36363636 0.70588235
 0.23529412 0.17647059 0.71428571 0.36       0.5        0.5
 0.6875     0.53333333 0.74358974]",5
NCT01273155,"nan,(HIV=NO) OR (HIV =UNKNOWN) OR (HIV=YES AND HAART=NO AND (Abnormal Liver Function Test=NO OR Abnormal Liver Function Test=YES)),nan,nan,Platelet count greater than or equal to 100000 platelets per cubic milimeter,Leukocyte count greater than or equal to 3000 per microliter",nan hiv     hiv  unknown    hiv yes  haart    abnormal liver function test   abnormal liver function test yes nan nan platelet count greater   equal  100000 platelets per cubic milimeter leukocyte count greater   equal  3000 per microliter,"[0.68       0.88888889 0.68       0.6        0.         0.70967742
 0.7037037  0.375      0.70833333 0.64705882 0.875      0.72
 0.69230769 0.31578947 0.875      0.64       0.375      0.375
 0.89189189 0.73809524 0.64285714 0.61538462 0.5        0.92
 0.8125     0.54166667 0.65       0.48       0.375      0.57142857
 0.65517241 0.375      0.375      0.375      0.6        0.64
 0.375      0.53571429 0.72       0.6875     0.62068966 0.68
 0.51724138 0.63157895 0.875      0.5        0.67567568 0.39130435
 0.62068966 0.34782609 0.61290323 0.42105263 0.31578947 0.64
 0.375      0.54545455 0.3        0.57575758 0.375      0.375
 0.52       0.4        0.21052632 0.8        0.42105263 0.48275862
 0.74358974 0.77777778 0.21052632 0.41666667 0.66666667 0.21052632
 0.55555556 0.5        0.61290323 0.42105263 0.44       0.57575758
 0.68       0.64       0.5        0.66666667 0.875      0.875
 0.5483871  0.53125    0.59459459]",6
NCT01366144,"Hemoglobin measurement greater than or equal to 8 grams per deciliter,Hemoglobin measurement greater than or equal to 8 grams per deciliter,HIV positive and antiretrovirals excluded;  HIV positive without AIDS defining diagnosis included  ,nan,nan,Platelet count greater than or equal to 100000 platelets per cubic milimeter,nan",hemoglobin measurement greater   equal  8 grams per deciliter hemoglobin measurement greater   equal  8 grams per deciliter hiv positive  antiretrovirals excluded  hiv positive without aids defining diagnosis included  nan nan platelet count greater   equal  100000 platelets per cubic milimeter nan,"[0.40909091 0.54545455 0.40909091 0.31818182 0.70967742 0.
 0.31818182 0.53571429 0.68       0.5        0.61904762 0.45454545
 0.84782609 0.64       0.61904762 0.43478261 0.53571429 0.53571429
 0.925      0.69047619 0.4        0.34782609 0.48       0.73913043
 0.66666667 0.72413793 0.68181818 0.51851852 0.53571429 0.66666667
 0.5862069  0.53571429 0.53571429 0.5862069  0.31818182 0.5
 0.53571429 0.56666667 0.45454545 0.53333333 0.55172414 0.40909091
 0.71428571 0.68292683 0.61904762 0.74285714 0.62162162 0.7
 0.55172414 0.70967742 0.63636364 0.66666667 0.64       0.5
 0.53571429 0.75       0.66666667 0.67567568 0.53571429 0.48148148
 0.55555556 0.55172414 0.66666667 0.60869565 0.66666667 0.75675676
 0.78571429 0.82051282 0.66666667 0.51851852 0.64705882 0.66666667
 0.48148148 0.76315789 0.63636364 0.66666667 0.53571429 0.775
 0.40909091 0.43478261 0.81481481 0.51612903 0.61904762 0.61904762
 0.76315789 0.63888889 0.8       ]",3
NCT01368588,"Hemoglobin measurement greater than or equal to 8 grams per deciliter,Hemoglobin measurement greater than or equal to 8 grams per deciliter,AIDS excluded; immunocompromised excluded,nan,nan,Platelet count greater than or equal to 100000 platelets per cubic milimeter,nan",hemoglobin measurement greater   equal  8 grams per deciliter hemoglobin measurement greater   equal  8 grams per deciliter aids excluded  immunocompromised excluded nan nan platelet count greater   equal  100000 platelets per cubic milimeter nan,"[0.23529412 0.3125     0.23529412 0.22222222 0.7037037  0.31818182
 0.         0.5        0.6        0.61290323 0.5        0.29411765
 0.85714286 0.61904762 0.5        0.36842105 0.5        0.5
 0.94444444 0.61111111 0.25       0.16666667 0.42857143 0.73684211
 0.65384615 0.72       0.58823529 0.47826087 0.5        0.57894737
 0.56       0.5        0.5        0.56       0.22222222 0.45
 0.5        0.53846154 0.29411765 0.5        0.52       0.23529412
 0.70967742 0.67567568 0.5        0.74193548 0.60606061 0.69230769
 0.52       0.7037037  0.62068966 0.57894737 0.61904762 0.45
 0.5        0.75       0.65217391 0.66666667 0.5        0.43478261
 0.52173913 0.52       0.65217391 0.5        0.57894737 0.75757576
 0.78947368 0.82857143 0.65217391 0.47826087 0.63333333 0.65217391
 0.43478261 0.76470588 0.62068966 0.57894737 0.5        0.77777778
 0.23529412 0.36842105 0.82608696 0.48148148 0.5        0.5
 0.76470588 0.625      0.80487805]",3
NCT01391962,"Hemoglobin measurement greater than or equal to 9 grams per deciliter,Hemoglobin measurement greater than or equal to 9 grams per deciliter,(HIV=NO) OR (HIV =UNKNOWN) OR (HIV=YES AND HAART=NO),nan,nan,Platelet count greater than or equal to 100000 platelets per cubic milimeter,Leukocyte count greater than or equal to 3000 per microliter",hemoglobin measurement greater   equal  9 grams per deciliter hemoglobin measurement greater   equal  9 grams per deciliter hiv     hiv  unknown    hiv yes  haart  nan nan platelet count greater   equal  100000 platelets per cubic milimeter leukocyte count greater   equal  3000 per microliter,"[0.45454545 0.70833333 0.45454545 0.36363636 0.375      0.53571429
 0.5        0.         0.47619048 0.43333333 0.66666667 0.5
 0.7        0.35       0.66666667 0.40909091 0.         0.
 0.89473684 0.61538462 0.44       0.39130435 0.15       0.72727273
 0.65517241 0.56       0.66666667 0.22727273 0.         0.59090909
 0.4        0.         0.         0.18181818 0.36363636 0.33333333
 0.         0.25       0.5        0.51724138 0.42307692 0.45454545
 0.53333333 0.44117647 0.66666667 0.51724138 0.52941176 0.41666667
 0.42307692 0.375      0.37037037 0.45       0.35       0.33333333
 0.         0.55882353 0.33333333 0.34482759 0.         0.0952381
 0.19047619 0.04761905 0.25       0.59090909 0.45       0.5
 0.75       0.78378378 0.25       0.05       0.44827586 0.25
 0.26086957 0.51612903 0.42857143 0.45       0.0952381  0.58823529
 0.45454545 0.40909091 0.52380952 0.5        0.66666667 0.66666667
 0.5625     0.28571429 0.60526316]",9
NCT01573442,"Hemoglobin measurement greater than  11 grams per deciliter,Hemoglobin measurement greater than  11 grams per deciliter,nan,nan,nan,nan,Leukocyte count greater than or equal to 3000 per microliter",hemoglobin measurement greater  11 grams per deciliter hemoglobin measurement greater  11 grams per deciliter nan nan nan nan leukocyte count greater   equal  3000 per microliter,"[0.55555556 0.5625     0.55555556 0.6        0.70833333 0.68
 0.6        0.47619048 0.         0.60714286 0.46153846 0.52941176
 0.81081081 0.61111111 0.46153846 0.57894737 0.47619048 0.47619048
 0.96969697 0.68571429 0.65217391 0.61904762 0.38888889 0.57142857
 0.70833333 0.83333333 0.75       0.45       0.47619048 0.78947368
 0.66666667 0.47619048 0.47619048 0.54545455 0.6        0.57894737
 0.47619048 0.52173913 0.52941176 0.7037037  0.68       0.55555556
 0.8        0.71428571 0.46153846 0.75       0.76470588 0.69565217
 0.68       0.70833333 0.61538462 0.5625     0.61111111 0.57894737
 0.47619048 0.79411765 0.71428571 0.62068966 0.47619048 0.47619048
 0.42105263 0.5        0.65       0.5625     0.5625     0.76666667
 0.89473684 0.87878788 0.65       0.45       0.72413793 0.65
 0.54545455 0.77419355 0.61538462 0.5625     0.47619048 0.78787879
 0.55555556 0.57894737 0.64705882 0.72413793 0.46153846 0.46153846
 0.77419355 0.62068966 0.81578947]",7
NCT01587352,"Hemoglobin measurement greater than or equal to 9 grams per deciliter without a blood transfusion in past 2 weeks,Hemoglobin measurement greater than or equal to 9 grams per deciliter without a blood transfusion in past 2 weeks,HIV positive on antiretrovirals included if CD4 >= 200,nan,nan,Platelet count greater than or equal to 100000 platelets per cubic milimeter,Leukocyte count greater than or equal to 3000 per microliter",hemoglobin measurement greater   equal  9 grams per deciliter without  blood transfusion  past 2 weeks hemoglobin measurement greater   equal  9 grams per deciliter without  blood transfusion  past 2 weeks hiv positive  antiretrovirals included  cd4   200 nan nan platelet count greater   equal  100000 platelets per cubic milimeter leukocyte count greater   equal  3000 per microliter,"[0.53571429 0.77419355 0.53571429 0.56666667 0.64705882 0.5
 0.61290323 0.43333333 0.60714286 0.         0.75       0.62068966
 0.79591837 0.57142857 0.75       0.6        0.43333333 0.43333333
 0.93478261 0.67391304 0.60606061 0.58064516 0.37037037 0.79310345
 0.75675676 0.73529412 0.75       0.4137931  0.43333333 0.73333333
 0.57575758 0.43333333 0.43333333 0.53125    0.56666667 0.55172414
 0.43333333 0.41935484 0.62068966 0.64864865 0.58823529 0.53571429
 0.69230769 0.60465116 0.75       0.68421053 0.64285714 0.5483871
 0.58823529 0.60606061 0.58333333 0.59259259 0.57142857 0.55172414
 0.43333333 0.69767442 0.64516129 0.55263158 0.43333333 0.48387097
 0.44827586 0.4        0.6        0.73333333 0.59259259 0.66666667
 0.8125     0.84444444 0.6        0.4137931  0.59459459 0.6
 0.43333333 0.675      0.65789474 0.59259259 0.43333333 0.69047619
 0.53571429 0.6        0.77419355 0.63157895 0.75       0.75
 0.675      0.51351351 0.75      ]",7
